id|Text|Scene|Tag
VOICE_174|我的书房就是我的 personal workspace。|家居|ZH
VOICE_175|I just gave my 老虎 a bath, he was not happy about it.|宠物|EN
VOICE_176|Found out today, 小仓鼠 can't eat many fruits and veggies.|宠物|EN
VOICE_177|我在 Miami Beach 感受到了典型的 Florida lifestyle。|旅行|ZH
VOICE_178|We should aim for more 创新 solutions in our projects.|工作|EN
VOICE_179|Everyday is a 挑战 when you're working as a firefighter.|工作|EN
VOICE_180|Do you know who is attending the next 物业管理 meeting?|工作|EN
VOICE_181|自然保护区是 biodiversity 的重要守护者。|环保|ZH
VOICE_182|我已经在 Hertz Rent-a-Car 订好了我们在 Vancouver 的租车。|旅行|ZH
VOICE_183|使用Treadmill进行有氧运动，对减少脂肪很有帮助。|健康|ZH
VOICE_184|This hot pot restaurant sure knows how to make a delicious 清炖狮子头!|美食|EN
VOICE_185|我在 Wayfair 上买的 coffee table 非常好看。|家居|ZH
VOICE_186|Do you want to try some 龙利鱼煎蛋 from the 美食 corner in the market?|美食|EN
VOICE_187|我想在家里开个 small party.|生活|ZH
VOICE_188|我做了一些 resistance band exercises，感觉很好。|健康|ZH
VOICE_189|我们需要为学生提供终身学习的 opportunity 和平台。|教育|ZH
VOICE_190|We can go to the newest dessert shop for some 冰淇淋 and cakes.|美食|ZH
VOICE_191|我明天参加一场 coding competition，挺紧张的。|工作|ZH
VOICE_192|我正在考虑为家里的 Bunk Bed 添加一些 Safe Rails。|家居|ZH
VOICE_193|我打算去体验 local cuisine.|生活|ZH
VOICE_194|你觉得这个新的 documentary 的拍摄技巧如何？|娱乐|ZH
VOICE_195|The usage of 能源使用效率比 can help us understand our energy consumption habits.|环保|EN
VOICE_196|The 虾仁炒蛋 at this restaurant is a must-try.|美食|EN
VOICE_197|我现在的饮食以 plant-based food 为主来减少肉类的摄入。|健康|ZH
VOICE_198|How do I stop my labrador from chewing on my 新沙发?|宠物|EN
VOICE_199|我要购买一些green food以丰富我的每日饮食。|健康|ZH
VOICE_200|My colleague recommended me the 宝岛 tea shop.|美食|EN
VOICE_201|This weekend I have planned to cook 香酥鸭 at home.|美食|EN
VOICE_202|One should avoid 油炸食品 for a healthy heart.|健康|EN
VOICE_203|Where did you put the 创意 lamp in the house?|家居|EN
VOICE_204|我们可以一起去 explore nearby towns.|生活|ZH
VOICE_205|How about joining a book club to discuss our favorite 书籍?|娱乐|EN
VOICE_206|我已经完成了 personal tax 的申报，我可以专心工作了。|工作|ZH
VOICE_207|I love experimenting with different types of 面包 in baking.|生活|EN
VOICE_208|为了环保，我在家中创设了 waste sorting system。|环保|ZH
VOICE_209|Let’s try that popular 小吃店 everyone has been raving about.|生活|EN
VOICE_210|你有在线学习过关于 environment protection 的课程么？我从中受益良多。|环保|ZH
VOICE_211|周末我打算去 downtown 的那家麻辣烫店尝一尝。|美食|ZH
VOICE_212|The number of 会员注册 on our website is increasing day by day.|家居|EN
VOICE_213|I hope能去体验不同的文化活动.|生活|ZH
VOICE_214|我在处理 Yard Waste 的时候，采用的是 Composting 方法。|家居|ZH
VOICE_215|Recently我对旅行 planning 变得很感兴趣.|生活|ZH
VOICE_216|You should attend the 研讨会, it's very insightful.|教育|EN
VOICE_217|我希望我的beagle能低调一些，每次出去溜都会吸引很多attention。|宠物|ZH
VOICE_218|每次我在 travel，我都会尝试吃 local food。|旅行|ZH
VOICE_219|我正在寻找一只适合 Apartment life 的猫，你有什么建议吗？|宠物|ZH
VOICE_220|I'm working on improving our 客户服务 standards.|工作|EN
VOICE_221|让我们尽可能使用 low-flow toilets 来节约水资源。|环保|ZH
VOICE_222|I’ve been listening to a lot of 中文歌 for fun.|娱乐|EN
VOICE_223|你认为家长在教育中应该扮演什么 role ，参与多少？|教育|ZH
VOICE_224|每当我开始写 programming code 时，我都会进入专注的状态。|工作|ZH
VOICE_225|我尽量不要使用 one-time 使用的物品，比如一次性筷子和吸管。|环保|ZH
VOICE_226|我猜可能需要omega-3来提升我的大脑得畅通。|健康|ZH
VOICE_227|I can't decide between getting a 大型犬 or a small breed.|宠物|EN
VOICE_228|完全饱腹 can make digestion difficult; it's important to stop eating before you feel full.|健康|EN
VOICE_229|I enjoy visiting local farms to learn about sustainable 生活.|旅行|EN
VOICE_230|我希望能去看一场 live dance performance，感受舞蹈的魅力。|娱乐|ZH
VOICE_231|为了保护视力，我每天都会补充Vitamin A。|健康|ZH
VOICE_232|我希望每一缕的 sunshine 与每一片绿叶都能得到尊重。|环保|ZH
VOICE_233|The 花园 furniture looks pretty after the renovation.|家居|EN
VOICE_234|请在EEP完成余下的 training module。|工作|ZH
VOICE_235|I want to buy a 萌萌卷毛 rabbit. Any recommendations?|宠物|EN
VOICE_236|My mom made 钵钵鸡 today, it was soul-soothing.|美食|EN
VOICE_237|I'm excited about the 新的 developments in our department.|工作|EN
VOICE_238|我们周末会去 mountain，打算在那里做 campfire dinner。|美食|ZH
VOICE_239|Their 肉夹馍 are so yummy!|美食|EN
VOICE_240|I'm looking for ways to engage the 学生 more effectively.|教育|EN
VOICE_241|I can smell the aroma of the freshly made 泡馍 from a mile away.|美食|EN
VOICE_242|我正在寻找一款有 Wi-Fi enabled 的热水壶，你有什么建议吗？|家居|ZH
VOICE_243|Take 浴室泡澡 as a form of relaxation, it's good for health.|健康|EN
VOICE_244|这个 homemade jam 非常美味。|美食|ZH
VOICE_245|I have a deadline for the 报告 submission next week.|工作|EN
VOICE_246|I’ve been trying to catch up on all the new 动画 series.|娱乐|EN
VOICE_247|我计划下周开始Gluten-free diet来减少肚子脂肪。|健康|ZH
VOICE_248|我正在学习 business management，有没有好的学习资源推荐？|教育|ZH
VOICE_249|What do you think这个 show 的演员表现怎么样？|娱乐|ZH
VOICE_250|我正在尝试一种新的 detox diet 增强身体健康。|美食|ZH
VOICE_251|我尽量让自己的 work-life balance，这样才能更好的工作和生活.|工作|ZH
VOICE_252|I taught my 宠物狗 how to do a 握手 today!|宠物|EN
VOICE_253|My new year resolution comprises of 戒烟戒酒.|健康|EN
VOICE_254|The 切菜板 in the kitchen is quite sturdy.|家居|EN
VOICE_255|What’s your favorite mode of 交通 when traveling?|旅行|EN
VOICE_256|Have you ever traveled during the 节日 season to experience the celebrations?|旅行|EN
VOICE_257|Which 餐馆 do you suggest for our team dinner?|家居|EN
VOICE_258|He is applying for a scholarship to study 运动科学.|教育|EN
VOICE_259|去年，我们在 Hollywood Hills 整个下午都在徒步。|旅行|ZH
VOICE_260|The 麻婆豆腐 we tried in China was super spicy.|美食|EN
VOICE_261|我期待 my trip to Belgium，去尝尝他们著名的 beer and chocolates。|旅行|ZH
VOICE_262|减少对 Fossil fuels 的依赖将有利于环保。|环保|ZH
VOICE_263|I’m actually craving some 粽子, let's prepare some this weekend.|美食|EN
VOICE_264|你有兴趣和我一起去 art gallery 吗？|生活|ZH
VOICE_265|我喜欢在我家的咖啡角添加一些 Cozy Throws。|家居|ZH
VOICE_266|你有没有听过那个新出的 rock song？|娱乐|ZH
VOICE_267|我在 Venice 的 gondola 上享受到了浪漫的 atmosphere。|旅行|ZH
VOICE_268|我尝试使用home workout，训练我的全身。|健康|ZH
VOICE_269|我喜欢周末早上煮 Italian coffee，然后配上 fresh fruits。|美食|ZH
VOICE_270|Can you find my 书 in that mess on the bookshelf?|家居|EN
VOICE_271|What's a good recipe for homemade 宠物食品?|宠物|EN
VOICE_272|我的卧室被我用 Scandi Style 的装饰风格布局了。|家居|ZH
VOICE_273|我在 Egypt 旅行时，非常喜欢 ride a camel in the Sahara desert。|旅行|ZH
VOICE_274|这个 seafood platter 让我非常满足。|美食|ZH
VOICE_275|Recently我在听一些老歌 怀念过去的时光。|娱乐|ZH
VOICE_276|我在考虑为我的厨房升级一个新的 Smart Fridge。|家居|ZH
VOICE_277|First thing in the morning, I drink a glass of 水 to rehydrate.|健康|EN
VOICE_278|改变我们的 lifestyle，从生活中的每个小细节开始，才能真正地环保。|环保|ZH
VOICE_279|I enjoy reading novels that transport me to different 世界.|娱乐|EN
VOICE_280|我想在这个 beautiful park 享受一段宁静时光。|旅行|ZH
VOICE_281|全球在环保方面的 cooperation 变得越来越重要。|环保|ZH
VOICE_282|The 炒四季豆 at 好运来 is pretty fresh.|美食|EN
VOICE_283|My 柯基 were very naughty and broke a vase.|宠物|EN
VOICE_284|Do you think参加一个 wellness retreat 有趣吗？|生活|ZH
VOICE_285|如果你想去 tropical paradise，我会推荐 Fiji。|旅行|ZH
VOICE_286|我在 Google Docs 上写作业，发现很方便。|工作|ZH
VOICE_287|你有推荐的 online learning platform 吗？|生活|ZH
VOICE_288|那家 restaurant 的 taste profile 真的让我很惊讶。|美食|ZH
VOICE_289|Let’s go to the 电影院 to catch the latest blockbuster.|娱乐|EN
VOICE_290|I'm looking to incorporate more 实践活动 into the curriculum.|教育|EN
VOICE_291|I had to pull 夜间学习 for my chemistry test.|教育|EN
VOICE_292|There is a concern over massive loss of 自然资源 natural resources due to over-exploitation.|环保|EN
VOICE_293|Just finished organizing my 照片 into albums.|生活|EN
VOICE_294|我刚刚在网上买了一些新的 Catnip toys。|宠物|ZH
VOICE_295|How long do 西瓜蜜 usually live in captivity?|宠物|EN
VOICE_296|Our products are well received in the 总销售量.|工作|EN
VOICE_297|我觉得像 Hot dog 的 Funny Pet costume 非常可爱，你有什么建议吗？|宠物|ZH
VOICE_298|面试 interviewer 提到，我的 communication skill 是他们在找的。|工作|ZH
VOICE_299|我们应该为学生提供更多的心理支持和关怀。|教育|ZH
VOICE_300|I wonder how 包子 feel paired with cream cheese.|美食|EN
VOICE_301|买 second hand 的东西是环保的一种方式。|环保|ZH
VOICE_302|我打算在 Paris 的 famous monuments 学习他们的艺术和历史。|旅行|ZH
VOICE_303|他决定做一个 juicy hamburger。|美食|ZH
VOICE_304|我们计划去 Hawaiian Islands 钓鱼，让我们等待那大鱼上钩的 moment。|旅行|ZH
VOICE_305|我的数学课老师建议我们在 spare time 里多做一些 exercises。|教育|ZH
VOICE_306|I enjoy spending time with friends at local 餐厅.|生活|EN
VOICE_307|我对那个 escorted tour 感兴趣，你呢？|旅行|ZH
VOICE_308|The 碘盐 should be stored in a dry and cool place.|家居|EN
VOICE_309|I'm craving 螺狮粉 today, do you want to join me?|美食|EN
VOICE_310|对一个 true traveler 来说，最重要的不是目的地，而是旅途。|旅行|ZH
VOICE_311|每天晚上，我都会坚持吃 fish oil 来补充omega-3。|健康|ZH
VOICE_312|每次做 Roasted Chicken，我都要腌制整夜。|美食|ZH
VOICE_313|How do you bathe a 抗拒的猫?|宠物|EN
VOICE_314|我们必须对 Illegal waste dumping 说“不”。|环保|ZH
VOICE_315|Have you seen the 淘宝 shopping haul videos lately?|家居|EN
VOICE_316|我正在安排一个 business trip 到上海。|工作|ZH
VOICE_317|虽然工作压力大，但看到自己的成绩，感觉所有的 hard work 都值得.|工作|ZH
VOICE_318|妈妈煮的stir-fried noodles吃起来清脆有嚼劲。|美食|ZH
VOICE_319|我喜欢在 food festival 尝试各种各样的街头食品。|美食|ZH
VOICE_320|The 卫生间 needs a new shower curtain.|家居|EN
VOICE_321|Regular intake of 钙 and 维他命D greatly benefit bone health.|美食|EN
VOICE_322|I’ve been trying to incorporate more 健康食物 into my diet.|生活|EN
VOICE_323|我读的 self-help book 让我对生活有了新的理解。|健康|ZH
VOICE_324|我经常在Pet Therapy中获得很大的安慰。|宠物|ZH
VOICE_325|I want to explore the local 市场 when we visit Thailand.|旅行|EN
VOICE_326|I love taking pictures of beautiful 风景 when I travel.|生活|EN
VOICE_327|We should get a new 洗碗机; ours is quite old.|家居|EN
VOICE_328|我订购了一款 Morphy Richards 的 Toaster 来吐司我的早餐面包。|家居|ZH
VOICE_329|I’ve been getting into hiking; the 自然风景 is breathtaking.|生活|EN
VOICE_330|我们可以一起去参加 public speaking workshop.|生活|ZH
VOICE_331|最近我喜欢上了 local hiking trails.|生活|ZH
VOICE_332|Just discovered a fantastic restaurant with unique 特色.|生活|EN
VOICE_333|我在 planing 去 New Orleans 的 Jazz Festival，期待享受好的音乐。|旅行|ZH
VOICE_334|Have a sip of the 特调咖啡 I made.|美食|EN
VOICE_335|I love making fresh 沙拉 with ingredients from the market.|生活|EN
VOICE_336|Have you seen the latest solar panel technology they're developing? It's exciting to think that one day we may depend on 太阳能 for all our energy needs.|环保|EN
VOICE_337|The secret to staying fit is 打破 routine and trying new workouts.|健康|EN
VOICE_338|My education专业有经验 professor is really inspiring.|教育|EN
VOICE_339|Kind of miss the old days with 电话机. Do we still need them?|家居|EN
VOICE_340|I'm wondering if I should get a 洗衣机 for my apartment. Thoughts?|家居|EN
VOICE_341|我们需要制定一个清晰的 project timeline。|工作|ZH
VOICE_342|I think the 新课程 will really benefit our 学生.|教育|EN
VOICE_343|There's a place downtown that makes homemade 酸辣汤 that's delicious.|美食|EN
VOICE_344|我学会了怎样示范一个 trick，这样我就可以教我的狗狗了。|宠物|ZH
VOICE_345|我计划在学期末进行一个 project 展示，展示学生成果。|教育|ZH
VOICE_346|We're learning about 企业经营 in my business class.|教育|EN
VOICE_347|我正在参加这个 e-commerce company 的面试。|工作|ZH
VOICE_348|My mom made amazing 红烧肉 for dinner last night!|美食|EN
VOICE_349|我开始试着使用 fitness apps 来记录我的饮食和运动。|健康|ZH
VOICE_350|我明天要参加一个 job fair，希望能够找到优秀的候选人.|工作|ZH
VOICE_351|我计划在课堂上组织一次 debate 活动，培养学生的思辨能力。|教育|ZH
VOICE_352|Did you catch the latest episode of that reality 综艺节目?|娱乐|EN
VOICE_353|我今天在公交上丢失了 my company ID card，我需要申请一张新的。|工作|ZH
VOICE_354|Have you ever gone on a scenic cruise to explore the 海洋?|旅行|EN
VOICE_355|Let's have some 东北饺子 for dinner, they're simply amazing!|美食|EN
VOICE_356|我正在编写一篇关于 gender discrimination 的报告。|教育|ZH
VOICE_357|Planning to visit the local 艺术展 this Friday with friends.|生活|EN
VOICE_358|I lost 15 pounds through 高筋高脂饮食.|健康|EN
VOICE_359|I never get tired of 原汁原味 food.|美食|EN
VOICE_360|I’m looking for适合 friends gathering 的活动.|生活|ZH
VOICE_361|I'm applying to study abroad in a top 实验 program.|教育|EN
VOICE_362|I recommend backing up your 软件数据 every week.|环保|EN
VOICE_363|我们可以一起去参加一个 creative retreat，激发灵感。|娱乐|ZH
VOICE_364|去 Madird 的 soccer games 简直就是我一直以来的梦想。|旅行|ZH
VOICE_365|Recently我在考虑开始一个 blog，分享我的日常.|生活|ZH
VOICE_366|我喜欢在 winter holiday 的时候烤 chestnut 来吃。|美食|ZH
VOICE_367|你认为学生的兴趣如何影响他们的学习效果和成绩？|教育|ZH
VOICE_368|I love listening to music while I do my 家务.|生活|EN
VOICE_369|我正在考虑购买一个新的 Electric Toothbrush 来改善我家人的口腔健康。|家居|ZH
VOICE_370|我正在给我家猫咪读 Some Clever Cats 故事书。|宠物|ZH
